essay,author,words,by,from,to,upon,whilst,while
1,Hamilton,1588,14,11,70,6,0,0
2,Jay,1663,10,4,52,1,0,1
3,Jay,1439,18,15,55,0,0,0
4,Jay,1636,14,8,50,0,0,0
5,Jay,1337,10,11,44,0,0,0
6,Hamilton,1943,10,14,56,4,0,0
7,Hamilton,2255,28,11,80,11,0,0
8,Hamilton,1989,11,9,78,3,0,0
9,Hamilton,1976,13,7,70,4,0,1
10,Madison,2999,39,12,99,0,0,0
11,Hamilton,2495,20,19,83,6,0,0
12,Hamilton,2148,15,19,80,7,0,0
13,Hamilton,960,5,5,42,2,0,0
14,Madison,2149,18,11,71,0,1,0
15,Hamilton,3078,32,22,116,10,0,1
16,Hamilton,2037,13,11,88,6,0,0
17,Hamilton,1565,9,5,57,6,0,0
18,Disputed or joint,2087,33,10,53,1,1,0
19,Disputed or joint,2021,22,16,57,0,1,0
20,Disputed or joint,1518,19,18,41,1,0,0
21,Hamilton,1994,22,16,54,6,0,3
22,Hamilton,3478,30,23,143,13,0,4
23,Hamilton,1797,11,6,96,7,0,0
24,Hamilton,1820,14,10,84,7,0,1
25,Hamilton,1982,22,12,89,2,0,0
26,Hamilton,2375,21,11,94,6,0,0
27,Hamilton,1418,14,5,60,4,0,0
28,Hamilton,1590,7,6,65,3,0,0
29,Hamilton,2239,10,13,111,10,0,2
30,Hamilton,1965,14,8,75,13,0,0
31,Hamilton,1730,9,10,81,13,0,0
32,Hamilton,1483,10,9,46,2,0,0
33,Hamilton,1683,14,9,66,9,0,0
34,Hamilton,2210,4,12,106,10,0,1
35,Hamilton,2251,10,8,100,9,0,0
36,Hamilton,2729,21,22,119,6,0,0
37,Madison,2709,30,20,84,1,1,0
38,Madison,3318,37,21,116,4,2,0
39,Madison,2606,33,23,90,0,0,0
40,Madison,3014,55,16,119,0,0,0
41,Madison,3542,32,22,118,0,1,0
42,Madison,2774,31,10,92,2,0,0
43,Madison,3427,47,6,111,0,1,0
44,Madison,2895,28,9,80,0,2,0
45,Madison,2116,11,8,65,0,2,0
46,Madison,2614,21,10,85,0,2,0
47,Madison,2738,42,12,64,0,0,0
48,Madison,1860,28,12,53,0,0,0
49,Disputed or joint,1646,15,5,57,0,1,0
50,Disputed or joint,1101,11,8,27,1,0,0
51,Disputed or joint,1914,23,7,49,0,2,0
52,Disputed or joint,1844,22,12,71,0,0,0
53,Disputed or joint,2166,31,11,72,0,1,0
54,Disputed or joint,1996,26,13,60,2,0,0
55,Disputed or joint,2044,14,12,77,0,0,0
56,Disputed or joint,1565,10,9,38,0,1,0
57,Disputed or joint,2206,25,11,73,0,3,0
58,Madison,2080,22,10,60,0,0,0
59,Hamilton,1899,17,12,72,3,0,0
60,Hamilton,2240,21,12,86,8,0,0
61,Hamilton,1516,5,8,60,3,0,0
62,Disputed or joint,2387,28,21,81,0,0,0
63,Disputed or joint,3040,51,16,87,0,1,0
64,Jay,2305,30,12,87,0,0,1
65,Hamilton,2016,16,12,84,10,0,1
66,Hamilton,2221,13,11,83,11,0,1
67,Hamilton,1636,14,5,83,6,0,0
68,Hamilton,1504,12,11,75,2,0,0
69,Hamilton,2749,19,11,93,12,0,1
70,Hamilton,3062,15,17,118,6,0,2
71,Hamilton,1706,15,15,75,3,0,1
72,Hamilton,2041,17,14,98,5,0,2
73,Hamilton,2347,27,13,82,13,0,0
74,Hamilton,999,2,3,35,3,0,0
75,Hamilton,1942,16,10,90,5,0,5
76,Hamilton,1931,20,10,82,8,0,1
77,Hamilton,1970,16,13,71,10,0,1
78,Hamilton,3016,25,27,128,9,0,0
79,Hamilton,1021,4,7,42,2,0,0
80,Hamilton,2452,13,7,113,6,0,0
81,Hamilton,3790,32,20,156,13,1,2
82,Hamilton,1534,4,14,82,4,0,0
83,Hamilton,5716,79,22,213,20,0,4
84,Hamilton,3921,28,20,130,11,0,1
85,Hamilton,2660,11,9,113,12,0,0
