year,president,tokens
1789,Washington,1431
1793,Washington,135
1797,Adams,2321
1801,Jefferson,1730
1805,Jefferson,2166
1809,Madison,1177
1813,Madison,1211
1817,Monroe,3378
1821,Monroe,4465
1825,Adams,2916
1829,Jackson,1128
1833,Jackson,1177
1837,VanBuren,3844
1841,Harrison,8463
1845,Polk,4811
1849,Taylor,1091
1853,Pierce,3340
1857,Buchanan,2834
1861,Lincoln,3635
1865,Lincoln,701
1869,Grant,1131
1873,Grant,1338
1877,Hayes,2489
1881,Garfield,2985
1885,Cleveland,1687
1889,Harrison,4394
1893,Cleveland,2019
1897,McKinley,3971
1901,McKinley,2210
1905,Roosevelt,989
1909,Taft,5438
1913,Wilson,1706
1917,Wilson,1529
1921,Harding,3338
1925,Coolidge,4056
1929,Hoover,3573
1933,Roosevelt,1881
1937,Roosevelt,1821
1941,Roosevelt,1341
1945,Roosevelt,557
1949,Truman,2280
1953,Eisenhower,2449
1957,Eisenhower,1660
1961,Kennedy,1365
1965,Johnson,1487
1969,Nixon,2124
1973,Nixon,1804
1977,Carter,1223
1981,Reagan,2434
1985,Reagan,2560
1989,Bush,2316
1993,Clinton,1600
1997,Clinton,2158
2001,Bush,1584
2005,Bush,2087
2009,Obama,2399
2013,Obama,2107
2017,Trump,1456
2021,Biden,2546
2025,Trump,2932
